gene_id,C_0074_BA9_mRNASeq,C_0107_BA9_mRNASeq,H_1106_BA9_mRNASeq,H_0821_BA9_mRNASeq,C_0103_BA9_mRNASeq,C_0113_CAP_mRNASeq,C_0106_BA9_mRNASeq,H_1104_CAP_mRNASeq,C_0114_CAP_mRNASeq,C_0054_BA9_mRNASeq,H_0802_BA9_mRNASeq,H_1105_CAP_mRNASeq,H_0791_BA9_mRNASeq
ENSG00000243847.3,17.0372,33.5165,21.4029,24.8021,16.4424,11.081,25.3839,17.1526,22.909,12.4195,10.9413,6.07771,22.1355
ENSG00000145220.13,101.0,159.0,167.0,134.0,155.0,165.0,159.0,190.0,212.0,134.0,168.0,264.0,168.0
ENSG00000203855.7,91.7558,211.408,158.92,336.855,135.713,34.0,196.353,90.2311,41.5701,102.75,208.55,16.3109,218.42
ENSG00000163162.8,791.802,1062.77,891.569,1241.87,854.837,658.1519999999998,1067.19,899.429,962.187,949.135,1242.93,882.523,1109.51
ENSG00000198719.8,240.0,305.0,232.0,290.0,189.0,183.0,176.0,190.0,233.0,179.0,127.0,339.0,186.0
ENSG00000226758.1,127.297,191.061,166.326,167.253,148.61,168.512,200.896,138.836,188.764,165.824,232.61900000000003,102.507,208.842
ENSG00000280276.1,14.0,31.0,14.3834,57.0,21.4294,10.0,38.0,20.0,11.0,13.7083,46.0517,10.0,33.0
ENSG00000260156.1,11.0,5.0,8.0,18.0,15.0,8.0,9.0,14.0,15.0,6.0,11.0,12.0,16.0
ENSG00000260190.1,6.08349,5.0,1.0,8.0,7.0,2.0,12.6012,17.0,10.0,4.00739,5.0,10.0,20.0
ENSG00000142864.14,4686.64,4451.69,5405.91,3444.71,3693.01,4477.06,3972.46,3716.02,4457.92,5396.51,4549.33,4492.69,4840.08
ENSG00000174231.16,8087.02,12343.4,9523.17,10194.5,8627.32,8980.08,10555.3,8004.24,10081.8,10812.2,11454.5,8434.26,12417.8
ENSG00000180116.15,69.7619,101.008,73.3536,120.132,85.6302,90.2517,126.679,152.84,116.139,101.218,151.466,96.0516,182.593
ENSG00000237166.1,20.0,293.0,86.0,182.0,52.0,150.0,36.0,112.0,198.0,116.0,45.0,144.0,42.0
ENSG00000270812.1,3.0,8.0,3.0,3.0,9.0,10.0,10.0,1.0,6.0,6.0,7.0,2.0,19.0
ENSG00000181896.11,406.176,424.066,431.36800000000005,385.068,362.89,380.923,374.359,395.751,448.68300000000005,478.311,450.034,473.656,413.465
ENSG00000214788.2,3.0,14.0,12.0,36.0,20.0,12.0,16.0,13.0,13.0,13.0,15.0,22.0,21.0
ENSG00000135749.18,4524.15,6472.65,5144.32,4414.73,5785.09,4126.71,4609.55,4283.17,4979.81,5118.6,5779.75,3359.56,5837.72
ENSG00000236101.1,25.0,26.0,15.0,28.0,34.0,140.0,32.0,329.0,231.0,18.0,28.0,92.0,31.0
ENSG00000144852.16,7.0,28.0,9.0,15.0,9.0,18.0,16.0,3.0,29.0,13.0,11.0,39.0,8.0
ENSG00000251680.5,27.2038,22.0,20.0,14.0,18.0,44.0,19.0,25.0,38.0,32.0,33.0,39.0,8.0
ENSG00000232166.1,23.0,46.0,27.0,44.0,23.0,55.0,40.0,203.0,91.0,15.0,55.0,45.0,44.0
ENSG00000163126.14,91.5279,265.141,108.624,330.314,183.25,158.08100000000005,157.51,256.933,229.186,111.257,137.055,127.653,180.857
ENSG00000273297.1,51.1763,74.3177,66.8827,81.6253,37.8304,66.0535,83.5899,111.382,110.164,53.9918,86.4036,101.353,63.0616
ENSG00000235605.1,15.0,25.0,7.0,43.0615,17.0,32.0294,12.0,102.333,73.058,11.0,25.0,26.9763,17.0
ENSG00000272933.1,26.0,23.0,11.0,51.0,24.0,33.0,47.0,29.0,56.0,22.0,14.0,19.0,25.0
ENSG00000267909.2,239.0,279.0,231.0,263.0,256.0,89.0,317.0,76.0,104.0,252.0,298.0,49.0,378.0
ENSG00000263741.1,5.0,13.0,10.0,8.0,8.0,25.0,8.0,16.0,31.0,4.0,12.0,20.0,3.0
ENSG00000273437.1,23.0,42.0,24.0,48.0,44.0,28.0,55.0,15.0,34.0,79.0,29.0,27.0,57.0
ENSG00000168264.10,2034.0,2967.0,2955.0,2678.0,2360.0,2640.0,3291.0,2138.0,2366.0,3290.0,2524.0,2823.97,4089.0
ENSG00000197885.10,2293.4,2068.11,2175.76,1345.88,1678.71,1422.68,1898.8,1083.55,1321.11,2712.97,2066.67,1675.52,2476.05
ENSG00000235934.1,12.0835,9.04304,11.0,10.0,7.15763,28.0,10.0,24.2986,22.0725,6.0,7.07464,30.6776,16.0
