gene_id,Gene name,HGNC symbol,counts__beta,counts__p,counts__padj
ENSG00000197102,DYNC1H1,DYNC1H1,0.0002576644720881861,0.00019705660219393464,0.003257927563141673
ENSG00000197111,PCBP2,PCBP2,-0.0009713866272541512,0.00019746047947066805,0.0032616066633730525
ENSG00000100170,SLC5A1,SLC5A1,0.20966493126906907,0.00019765418892225828,0.0032616066633730525
ENSG00000114573,ATP6V1A,ATP6V1A,0.0003421459759065617,0.000197644941858921,0.0032616066633730525
ENSG00000229178,AC069513.4,,-0.0389029447634283,0.0001985822738903576,0.003272781391993391
ENSG00000102678,FGF9,FGF9,0.006708309897563176,0.0001985633803912589,0.003272781391993391
ENSG00000121892,PDS5A,PDS5A,-0.002111835978702571,0.00019913476424548995,0.0032798149396468354
ENSG00000163297,ANTXR2,ANTXR2,-0.009251707093901327,0.00019961140336044456,0.003285591105533526
ENSG00000100234,TIMP3,TIMP3,-0.0004608368706177801,0.000199855535162885,0.0032875353448073817
ENSG00000278576,RP11-507K2.6,,0.0312238751548681,0.00020016816433521267,0.0032906031753883827
ENSG00000007923,DNAJC11,DNAJC11,0.002985458444545092,0.00020092290007422964,0.0033009304408290786
ENSG00000233384,RP11-100E13.1,,0.07458567692153008,0.00020166288254130915,0.0033110024811958557
ENSG00000237361,TUSC8,TUSC8,0.20854663699329606,0.00020220389556602209,0.003317797126680473
ENSG00000187672,ERC2,ERC2,0.002098290316476673,0.00020385937135758422,0.003342858038559407
ENSG00000134762,DSC3,DSC3,-0.10429125296117876,0.00020550817463160792,0.003367778120580413
ENSG00000130755,GMFG,GMFG,-0.015210023096117803,0.00020620080014666092,0.003377007328955578
ENSG00000248050,RP11-422N16.3,,0.04888742183063188,0.00020648463898986785,0.003379534345424505
ENSG00000255399,TBX5-AS1,TBX5-AS1,-0.22362740729345174,0.0002070398276253771,0.003383910378823557
ENSG00000088836,SLC4A11,SLC4A11,-0.013910997357031513,0.00020724897357671249,0.003383910378823557
ENSG00000131375,CAPN7,CAPN7,-0.003893534531870143,0.00020729822570153544,0.003383910378823557
ENSG00000155465,SLC7A7,SLC7A7,-0.01971922564497916,0.00020740054029433352,0.003383910378823557
ENSG00000271659,RP11-435O5.4,,-0.08515528790643585,0.00020704031443607995,0.003383910378823557
ENSG00000102038,SMARCA1,SMARCA1,-0.0023698103713468274,0.00020791933302066742,0.003390254674485121
ENSG00000003147,ICA1,ICA1,0.002579230067134645,0.00020834577998041223,0.0033950862297994853
ENSG00000060339,CCAR1,CCAR1,-0.002886667849327555,0.0002103446080159444,0.003406727497317345
ENSG00000260238,PMF1-BGLAP,PMF1-BGLAP,-0.01454403398250327,0.00020955719363735525,0.003406727497317345
ENSG00000105329,TGFB1,TGFB1,-0.004915209974668219,0.000209950958527938,0.003406727497317345
ENSG00000249244,RP11-548H18.2,,0.11080839094408383,0.0002100277401556605,0.003406727497317345
ENSG00000115607,IL18RAP,IL18RAP,-0.0926936408011596,0.00020931931879852872,0.003406727497317345
ENSG00000175054,ATR,ATR,0.005207741448303672,0.00021022166118056518,0.003406727497317345
ENSG00000165868,HSPA12A,HSPA12A,0.0005559467002469858,0.0002103659779285616,0.003406727497317345
ENSG00000205572,SERF1B,SERF1B,0.0032068129791440482,0.00020999247705943969,0.003406727497317345
ENSG00000255182,CTD-2517M22.14,,0.012765492904918786,0.00020937136202558992,0.003406727497317345
ENSG00000066382,MPPED2,MPPED2,0.006155500992761252,0.00020978668572835257,0.003406727497317345
ENSG00000253696,KBTBD11-OT1,KBTBD11-OT1,-0.010402932791381684,0.0002107865870683012,0.0034077960124607584
ENSG00000155506,LARP1,LARP1,0.0009348788847027774,0.0002110357996060186,0.0034077960124607584
ENSG00000166130,IKBIP,IKBIP,-0.02347391824049905,0.0002112597195971233,0.0034077960124607584
ENSG00000168546,GFRA2,GFRA2,0.002299580634499896,0.0002112053801894831,0.0034077960124607584
ENSG00000078401,EDN1,EDN1,-0.003704302660062736,0.00021116034263501948,0.0034077960124607584
ENSG00000150907,FOXO1,FOXO1,-0.003190172593699863,0.00021127991421610043,0.0034077960124607584
