gene_id,Gene name,HGNC symbol,counts__beta,counts__p,counts__padj
ENSG00000162433,AK4,AK4,0.0008641058597062796,0.0038359496203699273,0.037766047776584766
ENSG00000135404,CD63,CD63,0.0003355874522942293,0.003837442356565246,0.03776831223588895
ENSG00000103723,AP3B2,AP3B2,-0.0005880011865645727,0.0038498574907649408,0.03777294936925707
ENSG00000131469,RPL27,RPL27,0.0003173510106576538,0.0038430629525199045,0.03777294936925707
ENSG00000073282,TP63,TP63,0.04832094547804108,0.003850542381372945,0.03777294936925707
ENSG00000272769,RP11-725P16.2,,0.018694388636484583,0.0038424785578704546,0.03777294936925707
ENSG00000104140,RHOV,RHOV,-0.012623834296508171,0.0038497067768550326,0.03777294936925707
ENSG00000224251,RP11-499O7.7,,0.09905258564680218,0.0038477764201872993,0.03777294936925707
ENSG00000146457,WTAP,WTAP,0.00239763677059129,0.003843872610484911,0.03777294936925707
ENSG00000081052,COL4A4,COL4A4,0.012566502982372926,0.0038475816483675147,0.03777294936925707
ENSG00000214193,SH3D21,SH3D21,-0.005679035648805498,0.0038459644616364312,0.03777294936925707
ENSG00000118418,HMGN3,HMGN3,0.0007052774363736666,0.0038420198142329327,0.03777294936925707
ENSG00000234919,LINC01827,LINC01827,0.030867761629762493,0.0038529788053879295,0.03778445772759115
ENSG00000249242,TMEM150C,TMEM150C,-0.001658383164035963,0.0038631671730126045,0.03787195350534482
ENSG00000163823,CCR1,CCR1,0.007307913455419814,0.0038706801377179634,0.03792074776257592
ENSG00000166326,TRIM44,TRIM44,-0.0004968843973979478,0.003870404755434431,0.03792074776257592
ENSG00000271653,RP11-259K5.1,,0.014496531182801038,0.0038723023151701055,0.0379242181554479
ENSG00000120885,CLU,CLU,1.7506755435384767e-05,0.0038735936132988646,0.037924446799924405
ENSG00000229635,RP4-713B5.2,,-0.08526305044817928,0.003875028117625301,0.037926076897307835
ENSG00000236268,LINC01361,LINC01361,0.029493986735620627,0.0038790907472368015,0.037941008583993706
ENSG00000164830,OXR1,OXR1,-0.00022242094480843995,0.003878167059155224,0.037941008583993706
ENSG00000237754,RP11-521C10.1,,-0.060085176165013014,0.0038819500976490224,0.03795656339348882
ENSG00000138135,CH25H,CH25H,0.0061938156378324545,0.003890490897442533,0.037963298561508985
ENSG00000110675,ELMOD1,ELMOD1,-0.000609880163596374,0.0038915236840383343,0.037963298561508985
ENSG00000149922,TBX6,TBX6,0.011012560321534243,0.0038900457200220506,0.037963298561508985
ENSG00000148655,C10orf11,C10orf11,0.008761605396339729,0.003887998485980093,0.037963298561508985
ENSG00000079332,SAR1A,SAR1A,-0.001841480067772832,0.003885971341786365,0.037963298561508985
ENSG00000254222,RP11-787D18.2,,0.10269964689226843,0.0038883451207834,0.037963298561508985
ENSG00000062096,ARSF,ARSF,-0.02565227542365893,0.0038910225092644297,0.037963298561508985
ENSG00000148153,INIP,INIP,-0.004034736267137636,0.0038940603823008897,0.0379756589614019
ENSG00000253696,KBTBD11-OT1,KBTBD11-OT1,0.006203157579095224,0.003901579071694749,0.03803658084562907
ENSG00000187091,PLCD1,PLCD1,0.0025119614321715915,0.003906294233687825,0.03805773958618984
ENSG00000204147,ASAH2B,ASAH2B,-0.005216892426764781,0.003905118160652421,0.03805773958618984
ENSG00000279753,AC011558.5,,0.042009945378760016,0.003907669373648726,0.038058740138662776
ENSG00000106462,EZH2,EZH2,0.019838276806531944,0.003912036730131296,0.038088873241610366
ENSG00000091436,MAP3K20,MAP3K20,0.001800417092499263,0.003914340640697289,0.03809890288423559
ENSG00000114790,ARHGEF26,ARHGEF26,0.0017199413019735725,0.003923431500717167,0.038162548353317234
ENSG00000258178,RP11-18J9.3,,0.13924865962673638,0.003922748826196143,0.038162548353317234
ENSG00000203747,FCGR3A,FCGR3A,0.0009662017394056867,0.003927232170084061,0.038187098246818665
ENSG00000205037,RP11-863P13.4,,-0.0046359403410993535,0.003932744561358059,0.03822827098804665
ENSG00000114631,PODXL2,PODXL2,-0.0007257430525025965,0.003936099129660198,0.03823602629689397
ENSG00000198113,TOR4A,TOR4A,0.017680839567296925,0.003935819246563166,0.03823602629689397
ENSG00000277950,Metazoa_SRP,,0.10418838674294092,0.00395150549669554,0.038373223833169996
ENSG00000108684,ASIC2,ASIC2,-0.003188317349921507,0.003956139414370119,0.03840575458741001
ENSG00000168811,IL12A,IL12A,0.026196453202741672,0.0039576324175257796,0.038407521710604985
ENSG00000250379,RP11-23P13.4,,0.06067547121977058,0.003958889650076736,0.038407521710604985
ENSG00000274156,RP11-407N8.6,,0.08161608081758795,0.0039646410129330345,0.038438383370122224
ENSG00000111358,GTF2H3,GTF2H3,-0.005256074044887247,0.0039640000639471476,0.038438383370122224
ENSG00000181027,FKRP,FKRP,-0.003741275269141589,0.003975618622303334,0.0385323243658758
ENSG00000184471,C1QTNF8,C1QTNF8,-0.1738202162661471,0.003979836042822704,0.03856070490470589
