gene_id,H_1106_BA9_mRNASeq,H_1104_CAP_mRNASeq,H_1105_BA9_mRNASeq,H_1105_CAP_mRNASeq,H_1104_BA9_mRNASeq
ENSG00000198034.10,4020.99,4620.0,5539.0,9293.99,3940.0
ENSG00000186871.6,61.6536,58.0088,6.0,54.5656,1.0
ENSG00000102309.12,675.0,294.0,255.0,655.9989999999998,175.0
ENSG00000147162.13,9509.02,13420.0,1854.0,7934.02,2879.0
ENSG00000147133.15,2410.38,2030.33,331.6090000000001,2476.69,306.134
ENSG00000228427.1,28.7359,8.64575,8.64278,27.0949,8.249410000000001
ENSG00000165349.11,27.0,10.0,40.0,19.0,26.0
ENSG00000130055.13,106.54,129.359,61.021,224.25,72.0251
ENSG00000147127.8,85.0,86.0,26.0,68.0,24.0
ENSG00000120500.17,34.0,28.0,1.0,31.0,1.0
ENSG00000203588.3,58.5189,68.683,4.18182,42.2539,1.06394
ENSG00000089289.15,1100.0,776.0010000000002,657.0,1026.0,510.0
ENSG00000158813.17,105.004,124.845,26.0161,69.3313,23.0
ENSG00000090776.5,97.0773,100.953,258.0,175.165,122.0
ENSG00000130052.13,273.996,369.262,170.13,284.895,143.01
ENSG00000181704.11,2448.66,1916.86,453.381,2257.11,468.101
ENSG00000001497.16,954.0,1096.0,829.0,843.0,648.0
ENSG00000102053.12,872.443,1082.0,211.087,810.2539999999998,272.46
ENSG00000126970.15,471.141,301.334,163.0,234.044,168.0
ENSG00000102043.15,56.0001,72.0,4.0,76.0,6.0
ENSG00000186767.6,346.0,253.0,66.0,266.0,38.0
ENSG00000198205.6,376.887,385.617,34.144,360.562,28.4245
ENSG00000188021.8,2431.0,2846.0,1573.0,2825.0,1494.0
ENSG00000227486.1,72.1431,55.4397,11.8903,55.3678,4.0
ENSG00000247746.4,243.0,166.0,65.0,299.0,39.0
ENSG00000169188.4,156.045,141.488,165.095,165.32299999999995,102.605
ENSG00000102316.16,3832.0,1435.0,2808.52,3052.76,1409.69
ENSG00000102302.7,489.0,586.0,314.0,402.0,226.0
ENSG00000184083.11,1584.58,1690.02,238.846,2005.04,188.163
ENSG00000086758.15,15188.2,17924.0,2245.0,13957.0,2325.0
ENSG00000126012.11,2306.08,3132.69,1240.0,1913.34,1253.0
ENSG00000227329.2,29.7921,50.9915,1.0,20.746,3.0
ENSG00000232593.6,428.88,575.016,9.90383,384.606,14.0679
ENSG00000187754.8,90.2496,53.722,8.0,47.4712,5.0
ENSG00000283093.1,14.0,46.1154,8.50867,63.4861,10.9525
ENSG00000196368.4,974.551,635.386,828.778,1313.99,651.053
ENSG00000226530.1,28.0,41.0,3.0,38.0,4.0
ENSG00000229151.1,44.0,42.0,2.0,61.0,2.0
ENSG00000122824.10,427.449,220.614,498.222,454.005,280.947
ENSG00000230317.1,18.1172,44.1358,12.0,47.1091,10.0512
ENSG00000101842.13,29.9621,75.9785,23.3617,104.391,11.9604
ENSG00000273820.1,328.964,148.217,287.536,345.202,177.683
ENSG00000205777.17,40.5886,78.8229,2.2495,39.6578,1.02131
ENSG00000049768.14,7.0,26.0001,11.0,10.0,6.0
ENSG00000196998.17,780.908,866.4069999999998,816.7130000000002,748.02,748.0
ENSG00000147144.12,127.807,192.86900000000003,146.638,121.771,141.586
ENSG00000068323.16,1086.0,1262.0,1400.0,1332.0,1100.0
ENSG00000102057.9,77.0,110.0,66.0,123.0,60.0
ENSG00000102096.9,381.0,263.711,338.0,425.0,257.0
ENSG00000102103.15,804.0010000000002,518.0,971.0,905.001,628.001
ENSG00000094631.18,1538.18,1240.09,931.073,1080.29,1014.51
ENSG00000015285.10,60.9833,121.111,130.09,94.4815,80.0
ENSG00000101940.17,2354.1,2272.94,2429.09,2449.89,1622.22
ENSG00000279528.1,18.2174,13.0,91.0,41.2739,33.6814
ENSG00000228343.1,73.7826,55.0,41.0,122.726,17.3186
ENSG00000204620.3,20.8499,19.9507,5.6174800000000005,29.1322,9.0
