	int__beta	int__p	int__padj	Subject.death__beta	Subject.death__p	Subject.death__padj	counts__beta	counts__p	counts__padj
ENSG00000171130.17	5.661383768631145	0.1288753021498542	0.8944646653214571	-0.04925680332221347	0.05659628961969787	0.0830244517403654	-0.0003835254306271192	0.029295250652983218	0.19988633889396243
ENSG00000144040.12	3.171260006662517	1.0	1.0	-0.03607264510121177	0.04806046660573604	0.08284389988477306	-0.0002487867635317043	1.0	1.0
ENSG00000111664.10	2.4806911328862533	1.0	1.0	-0.039427051770753084	0.05435961924421295	0.08291129361240156	-0.0009495575634536438	1.0	1.0
ENSG00000116096.5	1.6092670737827615	1.0	1.0	-0.06557039520242418	0.0011682113618930456	0.08284389988477306	0.006701644330650571	8.190254779050221e-06	0.0018511462147756915
ENSG00000280038.1	4.030605655242229	0.11743549540896159	0.8672246105942167	-0.04114166293785192	0.06031433602675973	0.08406592175312104	-0.007560002174163762	0.07196934530634869	0.3573155293131629
ENSG00000172940.11	2.012102240553177	0.49511174792668744	1.0	-0.03968001244197263	0.04266803482352899	0.08284389988477306	0.017075125697291794	1.0	1.0
ENSG00000124374.8	2.4088805233014896	1.0	1.0	-0.03835593243698754	0.08313330150180642	0.10015190003998128	-7.881828023936586e-05	0.5019362608593347	1.0
ENSG00000155313.15	1.0112055724952584	0.11508641096911942	0.8607278514662483	-0.03474757099149505	0.05492810358166844	0.08291129361240156	0.0005745854382287892	1.0	1.0
ENSG00000164100.8	1.4861361922650658	0.07435823181176049	0.7337883310631147	-0.03428434604725041	0.028974864957928004	0.08284389988477306	0.000477440142804492	1.0	1.0
ENSG00000144031.11	2.1151819789344803	1.0	1.0	-0.04570374960920251	0.03326584471147198	0.08284389988477306	0.01930482969103428	0.3148262161601002	0.958262125995593
ENSG00000116035.2	2.3766615702211737	1.0	1.0	-0.04200627063541087	0.04241728855843063	0.08284389988477306	2.32107171121115e-05	1.0	1.0
ENSG00000171121.16	1.3001375703843814	1.0	1.0	-0.043499753854822014	0.04686087397297478	0.08284389988477306	0.008512171442120776	0.048714496287573406	0.27641894694941466
ENSG00000033170.16	2.4623616495991425	0.050595476696064345	0.6135861084288033	-0.0410131630873812	0.031667689185303605	0.08284389988477306	-9.677123030272974e-05	0.3189802766702112	0.9674737445758969
ENSG00000163958.13	2.1430801111763755	1.0	1.0	-0.043613035524561375	0.021383586245645403	0.08284389988477306	0.016385275387975847	0.08644013834336861	0.40200394591951116
ENSG00000169435.13	1.8000231480037059	0.2741653695797547	0.9203160407886041	-0.03637868380641243	0.03880639012276965	0.08284389988477306	0.015331961393257782	1.0	1.0
ENSG00000116001.15	4.042602630008391	1.0	1.0	-0.04175010805541455	0.059307119505097816	0.08367806654332348	-0.0006121454080634855	1.0	1.0
ENSG00000166295.8	0.006575334470305577	1.0	1.0	-0.05025924285708724	0.010695425730558261	0.08284389988477306	0.0018161724953872002	9.7801405463116e-07	0.0006659412758460583
ENSG00000162961.13	2.2888153346103977	1.0	1.0	-0.04172987173155267	0.04384079935397567	0.08284389988477306	8.475903869205467e-05	0.5839601301348247	1.0
ENSG00000155026.16	2.3372965378906523	0.7446868013564307	1.0	-0.05067264734673842	0.034008948993878074	0.08284389988477306	0.015028651047515012	0.4254381465166537	1.0
ENSG00000265681.7	0.49297434753399516	1.0	1.0	-0.046568187265965594	0.024914171532689267	0.08284389988477306	0.0002899629064160977	0.0012381762416173725	0.028575367478848968
ENSG00000261578.1	1.2330708082059598	0.5236837540503663	1.0	-0.03345612577878222	0.07069651884758332	0.0901909465939495	0.022253874117193248	1.0	1.0
ENSG00000279229.1	2.5551212718550462	0.47075804268188126	1.0	-0.03896087181456157	0.10738792630324068	0.12169054732483235	-0.01478964427166044	0.3425167920397597	1.0
ENSG00000164855.15	1.487735062122998	0.4282616274362614	1.0	-0.04244616697891762	0.05665643602136272	0.08304291328286338	0.04393339633175068	1.0	1.0
ENSG00000248710.1	2.3631691354258733	1.0	1.0	-0.043938462004788535	0.03143108496328395	0.08284389988477306	0.008278327356715845	0.13694127799139066	0.5496406946564988
ENSG00000203644.3	0.11129400846948652	0.6941286574498977	1.0	-0.039538751416571184	1.0	1.0	0.044284634376452754	1.0	1.0
ENSG00000173145.11	1.4092159229602668	0.29298071502473655	0.9209486673284129	-0.040025280852324464	0.053951531693415156	0.08284389988477306	0.002707900198888982	1.0	1.0
ENSG00000157796.17	0.21420121742182877	1.0	1.0	-0.04786838251576459	0.027115960750734636	0.08284389988477306	0.002041956672008193	0.03562655685860516	0.22627995002292678
ENSG00000160408.14	3.666237006213841	1.0	1.0	-0.039600917355768386	0.0586656903191477	0.0834984416985183	-0.00028387674880543787	1.0	1.0
ENSG00000184254.16	6.513929279489115	1.0	1.0	-0.05303078417702619	0.06776111835772713	0.08810395882077046	-0.009908637607134901	1.0	1.0
ENSG00000123415.15	6.649796867342656	1.0	1.0	-0.047637962121563425	0.033492029931676215	0.08284389988477306	-0.006553074484536713	1.0	1.0
ENSG00000281039.1	2.4782735781138876	1.0	1.0	-0.02635172962824799	0.1385068305355378	0.15082081701127886	-0.043280171952914046	1.0	1.0
ENSG00000167971.15	3.241766358759976	0.5180832297456702	1.0	-0.03618921049426357	0.08211642145517783	0.09932407605133976	-0.00027732293105295	0.2538448263063121	0.8316905268064277
ENSG00000184206.11	2.8582827141363283	1.0	1.0	-0.03593158742606698	0.020813485225689043	0.08284389988477306	-0.0011195465198028806	1.0	1.0
ENSG00000267254.5	2.7734204551711277	0.1167552456875528	0.8660687897829333	-0.04297761292410945	0.024918019920164847	0.08284389988477306	-0.0032482112543343582	0.4192106149701682	1.0
ENSG00000134058.10	-1.5649212401832502	1.0	1.0	-0.02333184739529895	0.08118226846642973	0.09853162258156428	0.005466609046418162	1.0	1.0
ENSG00000163219.11	-0.05173832534744376	1.0	1.0	-0.03473643486242725	0.08969939839480723	0.10582097290247564	0.012301517096370453	1.0	1.0
ENSG00000157093.8	3.5038199820449014	0.2963665123512972	0.9209486673284129	-0.04715170023510503	0.029783963108722333	0.08284389988477306	-0.06476642095254026	0.2261004112124867	0.772042864303876
ENSG00000176244.6	2.2804234367774834	0.3134252212013624	0.9238607699518385	-0.0422649920328127	0.05518608120575441	0.08291129361240156	0.0001527268679927458	1.0	1.0
ENSG00000115956.9	0.8889339262570165	0.028215063555039555	0.47368160722459807	-0.057894536667591624	1.0	1.0	0.018078654544029474	1.0	1.0
