	int__beta	int__p	int__padj	Subject_death__beta	Subject_death__p	Subject_death__padj	counts__beta	counts__p	counts__padj	status
ENSG00000107185.9	5.314997616070979	0.25516033502226043	0.8108092020741628	-0.028261555086214276	0.3785851500727563	0.9167572332199594	-0.002996676487735084	0.3333834136945635	0.4823061446417797	PL
ENSG00000095970.16	0.6548246977107829	0.7672744794675698	0.9724074287262956	-0.013398733572169813	0.623578484916347	0.9167572332199594	0.0011614387007451914	0.800401418990299	0.8484423295177358	PL
ENSG00000281357.2	3.9389202851664384	0.14001322451154752	0.8108092020741628	-0.02997844236648583	0.3863029709210395	0.9167572332199594	-0.013595797176537243	0.11839546276433344	0.435103834726958	PL
ENSG00000136153.19	3.3307418029735336	0.16199722215573187	0.8108092020741628	-0.0015697784709663464	0.96559625112052	0.9892927882787904	-0.0006739598386363814	0.10655668021432396	0.435103834726958	PL
ENSG00000136842.13	-0.20069114379102895	0.9380567613177941	0.9925890639836634	-0.04826204248460067	0.39663349869427855	0.9167572332199594	0.0016844527622742365	0.4984029519411135	0.6075688817452132	PL
ENSG00000122861.15	0.037058907552143326	0.989077405666853	0.9984994435759248	-0.010003091568221888	0.7371091524432037	0.9245091930864824	0.027344201401460988	0.6285751252711409	0.7130028148017287	PL
ENSG00000076706.15	0.22844421968364173	0.9142236121637546	0.9893824036275274	-0.012444711360869292	0.6535926287513831	0.9167572332199594	0.0004602093575268557	0.5218881077763953	0.6266712571256603	PL
ENSG00000167325.14	2.0978925932719332	0.9334600676920249	0.9925284950277014	-0.018126317594896833	0.8480678798687511	0.9533759333706838	-0.0010222377234551689	0.9682846606839369	0.9765098186089807	PL
ENSG00000280096.1	0.6216997804612677	0.838142097161046	0.980313670621984	-0.016568823961174012	0.5667389224159258	0.9167572332199594	0.024063598295984343	0.8265228493176076	0.8699236976065031	PL
ENSG00000263335.1	-8.206236175361187	0.16679928627092355	0.8108092020741628	0.05631226392371516	0.30636683907247775	0.9167572332199594	0.3490516811126253	0.08616714137266412	0.435103834726958	PL
ENSG00000112561.17	-0.01015997421862115	0.9965428845355586	0.9993112360006526	-0.01613646470719937	0.5675881898809179	0.9167572332199594	0.002378226047636338	0.39996845331416797	0.5319402764024214	PL
ENSG00000228794.8	-8.439307768619905	0.17271099126736733	0.8108092020741628	-0.00833480627726817	0.8091846266139822	0.941900326960028	0.008401961194396429	0.09397455144418043	0.435103834726958	PL
ENSG00000205045.8	3.109081847237346	0.21360527024959408	0.8108092020741628	-0.02633878021816097	0.39911508352270564	0.9167572332199594	-0.005482919699056398	0.23670005300110508	0.43634047139077525	PL
ENSG00000151062.14	1.2164238136223846	0.5323191801230875	0.9046828646400956	0.008206759462256004	0.8307515543750528	0.9463591640377577	-0.025435812547913828	0.2583093585189975	0.4414666364556752	PL
ENSG00000253729.7	4.049580097622759	0.1924419188733374	0.8108092020741628	-0.02726106964928695	0.38911759806766355	0.9167572332199594	-0.00036835769202870494	0.24192104150213178	0.4364179411172609	PL
ENSG00000269387.1	0.1701657206631202	0.930403274446284	0.9923956328939435	-0.016445959944913244	0.563551316377124	0.9167572332199594	0.04496266845851259	0.32094158363536396	0.4737941137181156	PL
ENSG00000203734.11	4.524280962116731	0.11545785257418417	0.8108092020741628	-0.03155045139248877	0.35765978149765476	0.9167572332199594	-0.028018794891893253	0.10284016543246288	0.435103834726958	PL
ENSG00000124593.14	1.0809382582317333	0.6583167410004376	0.9514303300825233	-0.15054452638033705	0.1402612144064267	0.9167572332199594	0.022248852895762842	0.16664261987578932	0.435103834726958	PL
ENSG00000278224.4	0.26765033586501463	0.8967824647909273	0.9880747709381807	-0.013576243888892676	0.6305214982344645	0.9167572332199594	0.04114327899896649	0.4713849805615955	0.5868805793984336	PL
ENSG00000164663.14	3.308467472881007	0.2797843372617935	0.8108092020741628	-0.0010811558565233161	0.9723302053854256	0.9912713352559251	-0.005039566054065198	0.378870719559669	0.5153148590802787	PL
ENSG00000126822.16	-1.7895938456620002	0.5286945588148265	0.9029930012232277	-0.021593511100164605	0.505171462150011	0.9167572332199594	0.0021953716706055444	0.12877729768193436	0.435103834726958	PL
ENSG00000128536.15	2.506399608281522	0.24572502775960092	0.8108092020741628	0.0015981219857398108	0.9632267813965554	0.9879983556610779	-0.004411203980755568	0.1366987251059978	0.435103834726958	PL
ENSG00000187860.10	-3.1258912280144786	0.39390221151106497	0.8447626387213236	-0.042932955702090214	0.25079085985748184	0.9167572332199594	0.029718928739943095	0.12499607228641663	0.435103834726958	PL
ENSG00000112578.9	-2.064397429940419	0.5971950660793862	0.9303078353756157	-0.00983820299836005	0.7265459152075746	0.9227986388306362	0.01471858233519054	0.3578422954819718	0.49889110535674724	PL
ENSG00000137413.15	3.3300448315478217	0.2620655535675529	0.8108092020741628	-0.005703030706909529	0.8444723354494411	0.9517013992755509	-0.0045439828004974515	0.3479629280325016	0.4917520190986648	PL
ENSG00000188112.8	2.6626936162275814	0.22527733562187857	0.8108092020741628	-0.013471007304382065	0.6955345015212114	0.9178780156746273	-0.03389383023597745	0.13100783686562578	0.435103834726958	PL
ENSG00000048545.13	2.6569339254948	0.24912142502543266	0.8108092020741628	-0.02200627798028679	0.5202805185388963	0.9167572332199594	-0.014260827878200199	0.17794641986177717	0.435103834726958	PL
ENSG00000112599.8	4.314497857403655	0.18036964731102556	0.8108092020741628	-0.021395557855827592	0.4896091840828197	0.9167572332199594	-0.09658075647122408	0.23802062690158154	0.43635799115542157	PL
ENSG00000169045.17	-1.962885140129499	0.7260633529004082	0.966522431341401	-0.024230063538285572	0.4495590789169094	0.9167572332199594	0.0005419753363106949	0.5521453380723977	0.6502494602755384	PL
ENSG00000112619.7	-0.5517337966932401	0.8658494250616098	0.9841482720256444	-0.0016329592889706833	0.9607848246369952	0.9873643710132771	0.007060303329262961	0.5302118373277167	0.6329379034932536	PL
ENSG00000124659.6	-0.6457804745088865	0.7823953480082884	0.9746720053888013	-0.013171737716171613	0.6491710365739564	0.9167572332199594	0.003378262373530165	0.2407180897232314	0.43635799115542157	PL
ENSG00000112624.12	2.4728011625035053	0.6155569788490944	0.9372411660976048	-0.018707172292908116	0.5538980064992773	0.9167572332199594	-0.0011826821043783207	0.756898118762614	0.8133057674944882	PL
ENSG00000146223.14	-11.26710593959403	0.28367403095695776	0.811957216173646	0.038111606674952024	0.4814955686239438	0.9167572332199594	0.003444072820130578	0.22877295966626132	0.435103834726958	PL
ENSG00000221821.3	0.4989905209435344	0.7864471869508058	0.9746720053888013	-0.015631347444998757	0.577046190395401	0.9167572332199594	0.006279829434649854	0.4060092627959613	0.5363152783357683	PL
ENSG00000177301.13	1.93498584337281	0.49095391717512693	0.8876662181515088	-0.018423458073160183	0.5338919610888901	0.9167572332199594	-0.00011425541471723989	0.6909944319817573	0.7601301231198461	PL
ENSG00000231113.2	1.935159719255273	0.32707637026058844	0.819596445840397	-0.0020312753127583235	0.948641768455146	0.984584360925151	-0.014558393626061093	0.32680963840257704	0.477963092015934	PL
ENSG00000124713.5	0.7768165062020863	0.6828636892264479	0.9579015393487726	0.011345570644457353	0.8503433259362593	0.9540895691824827	-0.02603085201180285	0.6260731094659169	0.7113859655826553	PL
ENSG00000124587.13	0.19422350305086608	0.945813357300209	0.9938611813684545	-0.06911100527163405	0.13557073287191923	0.9167572332199594	0.004401044508288219	0.11475875598652763	0.435103834726958	PL
ENSG00000184708.17	-0.23368871241286082	0.9777479457550043	0.9968013622023827	-0.013008079333688685	0.6434915309597982	0.9167572332199594	0.000943350616412147	0.8793836223846415	0.9104083944099897	PL
ENSG00000229043.2	-4.082177468073985	0.3505412035674398	0.8265221816238614	-0.004901746712965906	0.8791987328821301	0.9644906518036395	0.08604372523302392	0.14778207982927993	0.435103834726958	PL
