H_1106_BA9_mRNASeq,H_1104_CAP_mRNASeq,H_1105_BA9_mRNASeq,H_1105_CAP_mRNASeq,H_1104_BA9_mRNASeq
1112.9,754.63,655.2230000000002,914.211,405.166
42.3679,44.8141,19.0,45.9608,14.0
2639.0,113.0,2217.0,236.0,1514.0
234.447,166.22,45.7204,184.738,7.01435
125.0,173.0,240.0,148.0,214.0
350.0,240.847,176.588,290.876,88.3013
68.9423,59.0619,44.4803,56.5295,24.6987
968.71,990.278,981.627,1182.33,704.9939999999998
31.0,72.0,100.0,61.0,90.9999
90.4352,63.6854,5.0,101.995,1.06652
80.6375,122.576,2.21266,87.2329,2.37437
15.903,18.9966,2.01939,13.0032,1.03052
35.0,32.0,95.0,29.0,51.0
26.0,70.0,1.0,19.0,1.0
63.7798,88.9671,17.3326,30.8887,21.6582
13.451,16.6654,8.34313,9.58313,6.0
13.0,19.0,4.38632,21.5218,1.0
134.61,147.143,21.9613,182.157,13.8124
9557.68,5253.54,6840.0,6130.37,5343.0
109.461,90.9405,44.9699,58.7258,23.5746
100.92,100.941,65.0279,124.188,46.5141
111.0,79.0,6.0,104.0,8.0
90.5394,61.5041,28.0,58.0596,15.0
5887.34,3054.6,3193.61,6570.16,1684.12
2309.56,1633.84,1079.45,1836.61,847.318
346.593,281.826,384.0630000000001,495.157,356.886
1338.56,1283.97,1135.82,1085.29,1050.64
1091.98,1337.98,612.937,1189.0,923.987
3657.98,3718.03,2106.11,2390.2,2254.72
330.0,237.0,443.731,206.34,177.0
82.3025,85.18700000000003,24.1125,69.1792,22.9198
864.61,991.033,169.31400000000005,831.375,119.865
1060.55,1092.38,1168.0,1105.71,816.064
986.065,723.623,398.421,965.653,222.892
3943.0,2956.97,4285.99,3219.98,3254.0
2565.94,2499.0,2006.0,1983.0,1112.0
21.0,2.0,1.0,56.0,1.0
105.857,186.785,15.5508,76.2505,30.5927
2812.9,3330.69,3794.1,3057.03,2642.06
24.2957,51.0638,4.04162,34.0565,6.12571
3433.26,3166.69,2814.33,3223.81,2604.35
30.0,40.0,5.0,22.0,11.0
1831.82,2657.58,1493.0,4753.96,1213.39
191.39,195.921,34.8748,159.60399999999996,18.0177
367.36800000000005,858.791,59.9207,415.361,84.9977
61.35,65.2083,11.8852,88.6974,7.05543
19870.9,17848.7,5346.0,14734.2,6409.0
1895.39,1152.0,1935.0,1081.0,1358.0
595.3380000000002,626.877,592.882,488.839,369.719
52.0,108.0,368.0,49.0,137.0
79.0,208.0,82.0,194.0,36.0001
743.181,777.7560000000002,1371.03,764.205,808.982
63.2562,67.4696,8.0,48.0735,4.0
788.238,577.18,804.954,774.2260000000001,480.29
468.381,343.8780000000001,669.953,468.628,304.582
235.395,218.643,437.214,280.059,327.0
2495.0,1219.0,2277.0,2484.0,1172.0
145.031,88.9999,314.872,114.355,162.122
846.995,1053.51,1012.74,788.0160000000002,781.373
363.274,193.832,1277.0,553.107,330.0
52.5586,51.614,60.4019,20.1909,66.0
51.0,99.0,27.0,44.0,66.0
1450.25,1628.12,1215.0,970.826,894.0
10.0,92.0,98.0,105.0,67.0
7.0,217.0,7.0,111.0,6.0
1185.0,2041.0,1562.0,1974.0,791.0010000000002
303.951,576.134,313.482,309.517,311.255
21.5818,17.1751,2.30289,7.50206,1.17829
36.0,100.0,39.0,124.0,39.0
27.0,88.0,40.0,57.0,50.0
776.0,17.0,186.0,6.0,229.0
766.336,652.1519999999998,461.0,673.893,277.0
342.725,190.475,134.0,170.0,75.0
578.0,237.0,505.0,155.0,271.0
1680.04,1464.34,977.0,2044.98,656.0
4422.17,5100.64,2903.0,5023.84,2730.0
369.866,582.881,79.3691,594.077,94.6809
171.0,211.0,122.0,264.0,129.0
103.742,132.572,4.38848,90.1842,3.29481
1328.12,1596.68,60.2982,1147.25,57.6651
1676.88,2760.73,97.1171,2159.72,170.80599999999995
193.989,227.635,7.02387,184.271,5.00437
3931.87,3439.04,1251.6,2379.49,646.006
942.786,1529.84,99.0,954.92,101.0
11.0028,14.0295,16.514,29.0,11.0
18.0,22.0,8.0,21.0,8.0
884.909,735.6619999999998,254.416,659.238,195.217
3999.33,3572.67,380.0,2712.14,325.026
1062.0,1289.0,1102.0,1143.0,895.0
618.535,1584.34,442.565,812.47,503.595
467.0,372.0,360.0,545.0,188.0
27.0,16.0001,10.0,11.0,4.0
524.0,1795.0,348.119,1436.0,494.175
284.0,263.0,304.0,118.0,195.0
1047.26,1170.48,480.402,1275.51,329.954
1036.7,1788.91,482.0,861.633,346.0
17.8267,41.0,24.7216,16.0,24.79
129.711,166.373,204.871,111.159,104.155
295.0,130.0,235.0,419.0,139.0
88.0,171.0,285.0,109.79,68.0
194.057,222.249,62.1944,185.58900000000003,58.4929
95.1591,51.5114,110.524,92.876,82.3201
19.0,23.0,3.0,11.0,3.0
49.0,110.0,187.0,200.0,103.0
18.3127,28.7838,8.14113,22.1239,31.4692
1501.53,1136.7,811.334,1809.0,663.21
487.767,386.943,634.717,356.551,392.13
3.5311,5.14805,33.1096,9.01553,15.8016
38.0,36.0,29.0,41.0,23.0
2.0,23.9999,28.0,49.0,45.0
1702.22,2457.66,89.8574,1562.61,96.6206
2289.24,2363.95,544.631,2475.34,633.439
380.03,458.062,344.0,417.994,256.545
1962.74,1114.35,1115.0,2169.24,849.0
213.121,194.983,176.695,205.402,151.446
