gene_id,C_0113_CAP_mRNASeq,H_1104_CAP_mRNASeq,C_0114_CAP_mRNASeq,H_1105_CAP_mRNASeq
ENSG00000221466.2,166.127,137.078,205.123,135.85399999999998
ENSG00000147041.11,4167.0,2165.0,2926.0,1999.0
ENSG00000229674.1,27.0,15.0,27.0,6.0
ENSG00000224339.1,34.0,24.0,39.0,19.0
ENSG00000165169.10,2304.6,1219.19,1660.05,2101.01
ENSG00000165168.7,999.0,1481.0,2679.0,1222.0
ENSG00000147140.15,2919.49,2408.42,3342.09,3520.47
ENSG00000229384.2,17.0,7.0,13.0,8.0
ENSG00000165164.13,1139.0,428.0,583.0,595.0
ENSG00000271519.1,197.516,228.659,260.192,182.237
ENSG00000233928.5,30.0,33.0,31.0,26.0
ENSG00000198947.15,3634.37,2644.18,4595.53,3279.9
ENSG00000243055.1,33.8187,38.7046,33.3582,40.5307
ENSG00000241886.1,13.0,28.0,11.0,23.0
ENSG00000229331.1,10.4608,23.6957,13.4793,12.1215
ENSG00000198814.12,592.278,486.098,695.373,999.806
ENSG00000120280.5,38.196,26.2866,33.0567,60.1569
ENSG00000227393.1,24.0,22.0,19.0,14.0
ENSG00000228933.7,18.3864,20.328,13.8155,13.9257
ENSG00000236683.3,8.18975,9.17429,11.1255,4.05075
ENSG00000004848.7,112.026,61.7533,122.333,97.7189
ENSG00000102230.13,1276.56,1350.18,1286.99,1388.02
ENSG00000214124.3,9.0,6.0,25.0,8.0
ENSG00000005889.15,2169.29,3007.97,3092.56,2192.71
ENSG00000130741.10,2214.41,2436.65,3003.74,2505.84
ENSG00000165182.10,11.0,4.0,8.0,36.0
ENSG00000238103.4,10.7664,8.09863,12.7326,7.5560399999999985
ENSG00000233785.1,20.7747,20.4916,32.4362,61.4364
ENSG00000226774.1,9.0,14.0,5.0,19.0
ENSG00000237019.1,13.0,14.0,8.0,10.0
ENSG00000012174.11,864.029,589.747,943.102,691.378
ENSG00000091482.5,3.0,3.0,27.0,18.0
ENSG00000231913.1,13.0,28.0,15.0,12.0
ENSG00000277499.1,3.0,4.0,12.0,11.0
ENSG00000177189.12,3323.43,2386.22,3028.86,3151.37
ENSG00000173674.10,4024.54,3482.0,4123.0,4198.32
ENSG00000264566.3,4.0,11.0,8.0,2.0
ENSG00000173681.16,1309.64,1095.57,1579.44,1123.18
ENSG00000131828.13,2125.1,1694.02,2180.24,2256.26
ENSG00000173698.17,142.645,153.512,211.74,147.00799999999995
ENSG00000044446.11,861.0989999999998,933.254,1304.05,849.02
ENSG00000147113.16,628.535,739.182,1144.8,620.528
ENSG00000237836.5,6.24397,21.8627,22.0,36.6103
ENSG00000196564.4,20.9635,27.9321,32.1989,26.102
ENSG00000236187.1,52.0,71.0,75.0,42.0
ENSG00000008086.11,11528.7,10424.8,10798.1,9658.72
ENSG00000131831.17,148.0,94.0,204.0,163.0
ENSG00000238764.1,9.0,11.9521,14.0,7.0
ENSG00000047230.14,954.226,897.054,1117.03,884.47
ENSG00000238178.6,6.0,6.0,12.0,9.0
ENSG00000182287.13,2086.95,1580.97,2148.42,2809.57
ENSG00000147003.5,57.0,2.0,19.0,64.0
ENSG00000130234.10,18.0,6.0,17.0001,18.0
ENSG00000165197.4,56.0,59.0,75.0,35.0
ENSG00000130150.11,965.0,914.668,1219.8,889.992
ENSG00000101958.13,389.626,386.961,304.347,496.152
